hcho_valid_pixels,hcho_mean,hcho_std,hcho_min,hcho_max,hcho_median,location_id,date,month
117,0.0002911330666393,4.4495536712929606e-05,0.0001981841487577,0.0003915883717127,0.0002898225793614,4946813,2026-04-16,4
0,,,,,,4946813,2026-04-17,4
0,,,,,,4946813,2026-04-18,4
0,,,,,,4946813,2026-04-19,4
0,,,,,,4946813,2026-04-20,4
53,0.0002266771480208,4.740292206406593e-05,0.0001339412119705,0.0003947486693505,0.0002228580415248,4946813,2026-04-21,4
103,0.0002158792485715,4.706389154307544e-05,0.0001070185171556,0.000359854515409,0.0002148649800801,4946813,2026-04-22,4
0,,,,,,4946813,2026-04-23,4
22,0.0001099829751183,3.555260627763346e-05,3.148053292534314e-05,0.000161746473168,9.990917897084728e-05,4946813,2026-04-24,4
113,0.0001599449751665,6.569596735062078e-05,1.3752262020716444e-05,0.0003151913697365,0.000158819326316,4946813,2026-04-25,4
0,,,,,,4946813,2026-04-26,4
154,0.0002057554520433,7.301476580323651e-05,8.077216625679284e-05,0.0004024146473966,0.0001893716107588,4946813,2026-04-27,4
136,0.0002459269016981,0.0001450025738449,-9.030626097228378e-05,0.0006114646093919,0.0002245152427349,4946813,2026-04-28,4
156,0.0002144008467439,9.472336387261748e-05,-6.3117186073213816e-06,0.0005021026590839,0.0002110457426169,4946813,2026-04-29,4
60,0.0001950029109138,0.0001526807609479,-0.0001325269404333,0.0005687335506081,0.0001709774223854,4946813,2026-04-30,4
40,0.0002300791966263,8.318717300426215e-05,8.168682688847184e-05,0.0005278527969494,0.0002131305664079,4946813,2026-05-01,5
67,0.000159327610163,5.322189099388197e-05,1.0156699318031316e-05,0.0003420341236051,0.0001601942349225,4946813,2026-05-02,5
1,0.0001699062413536,0.0,0.0001699062413536,0.0001699062413536,0.0001699062413536,4946813,2026-05-03,5
109,0.0002136142284143,0.0001278708223253,-4.22709999838844e-05,0.0004960413789376,0.0002132623194484,4946813,2026-05-04,5
134,0.0002084745938191,0.0001159614985226,-2.65344133367762e-05,0.0005184691981412,0.0001955654879566,4946813,2026-05-05,5
61,0.000129779393319,6.644023233093321e-05,4.871998498856556e-06,0.0003000194556079,0.0001208161120302,4946813,2026-05-06,5
48,0.0001587675214977,9.329559543402866e-05,3.2911870221141726e-05,0.0004957373603247,0.0001445526722818,4946813,2026-05-07,5
0,,,,,,4946813,2026-05-08,5
0,,,,,,4946813,2026-05-09,5
0,,,,,,4946813,2026-05-10,5
70,0.0001887563121272,0.0001057151675922,-2.368081368331332e-05,0.000525348179508,0.0001762314641382,4946813,2026-05-11,5
102,0.0002020770916715,0.0001313240354647,-9.515324200037868e-05,0.0006837693508714,0.0001870655978564,4946813,2026-05-12,5
141,0.0002140687865903,0.0001303672324866,-7.922394433990121e-05,0.0005233049159869,0.000218240005779,4946813,2026-05-13,5
